Delimiters (│) should align. [GRAPHEME w=3]
│───│═══════════════════
│𑄇𑄳𑄠𑄬│ 11107+11133+11120+1112C
│ន្លែ│ 1793+17D2+179B+17C2
│ប្ដេ│ 1794+17D2+178A+17C1
│ប្រា│ 1794+17D2+179A+17B6
│ប្រើ│ 1794+17D2+179A+17BE
│ប្រែ│ 1794+17D2+179A+17C2
│ផ្ដា│ 1795+17D2+178A+17B6
│ផ្ទា│ 1795+17D2+1791+17B6
│ផ្ទេ│ 1795+17D2+1791+17C1
│ផ្នែ│ 1795+17D2+1793+17C2
│ផ្លា│ 1795+17D2+179B+17B6
│ផ្សា│ 1795+17D2+179F+17B6
│ផ្សេ│ 1795+17D2+179F+17C1
│ផ្សៃ│ 1795+17D2+179F+17C3
│ព្យា│ 1796+17D2+1799+17B6
│ព្រៀ│ 1796+17D2+179A+17C0
│ព្រៃ│ 1796+17D2+179A+17C3
│ម្ងា│ 1798+17D2+1784+17B6
│ម្ចា│ 1798+17D2+1785+17B6
│ម្ដា│ 1798+17D2+178A+17B6
│ម្ដែ│ 1798+17D2+178A+17C2
│ម្នា│ 1798+17D2+1793+17B6
│ម្នេ│ 1798+17D2+1793+17C1
│ម្ភា│ 1798+17D2+1797+17B6
│ម្រា│ 1798+17D2+179A+17B6
│ម្រើ│ 1798+17D2+179A+17BE
│ម្រេ│ 1798+17D2+179A+17C1
│ម្លៀ│ 1798+17D2+179B+17C0
│ម្លៃ│ 1798+17D2+179B+17C3
│ល្បៈ│ 179B+17D2+1794+17C8
│ល្មើ│ 179B+17D2+1798+17BE
│ស្គា│ 179F+17D2+1782+17B6
│ស្ដ្រី│ 179F+17D2+178A+17D2+179A+17B8
│ស្ត្រ│ 179F+17D2+178F+17D2+179A
│ស្ថា│ 179F+17D2+1790+17B6
│ស្នា│ 179F+17D2+1793+17B6
│ស្មា│ 179F+17D2+1798+17B6
│ស្មើ│ 179F+17D2+1798+17BE
│ស្រា│ 179F+17D2+179A+17B6
│ស្លា│ 179F+17D2+179B+17B6
│ស្វែ│ 179F+17D2+179C+17C2
│ᨯ᩠ᩅ᩠ᨿᩢ│ 1A2F+1A60+1A45+1A60+1A3F+1A62
│ᨯᩢ᩠ᩅ᩠ᨿ│ 1A2F+1A62+1A60+1A45+1A60+1A3F
│ᩉ᩠ᨿᩢ᩠ᩋ│ 1A49+1A60+1A3F+1A62+1A60+1A4B
│ဒ္ဂေ│ 1012+1039+1002+1031
│ဗ္တေ│ 1017+1039+1010+1031
│ဗ္ၜေ│ 1017+1039+105C+1031
│သ္ဂေ│ 101E+1039+1002+1031
